127.0.0.1 - - [30/Jan/2024:20:50:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:50:42 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:50:43 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:50:44 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:50:44 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:03 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:03 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:03 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:03 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:03 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:03 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:11 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 3463
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:11 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24601
0:0:0:0:0:0:0:1 - - [30/Jan/2024:20:51:11 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24601
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:38 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:51 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:01:51 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:13:51 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:13:51 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:07 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:38 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:24:38 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:30:27 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:30:28 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:30:31 +0530] "GET /BookStoreWebsite/admin/category_form.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:30:31 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:33:00 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:33:04 +0530] "GET /BookStoreWebsite/admin/edit_category?id=1 HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:33:12 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [30/Jan/2024:21:33:17 +0530] "GET /BookStoreWebsite/admin/edit_user?id=2 HTTP/1.1" 200 3041
