127.0.0.1 - - [01/Feb/2024:20:23:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:58 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:23:59 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:35 +0530] "GET /BookStoreWebsite/admin/delete_user?id=14 HTTP/1.1" 200 5241
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:39 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:54 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2024:20:26:55 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
