127.0.0.1 - - [02/Mar/2024:21:22:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:25 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 204800
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:25 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:25 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:30 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 462117
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:41 +0530] "GET /BookStoreWebsite/search?keyword=java+core HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:22:55 +0530] "GET /BookStoreWebsite/search?keyword=java+8 HTTP/1.1" 200 97580
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:23:07 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152266
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:23:23 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 462117
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:35:05 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152400
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:37:30 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152522
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:39:19 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152592
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:39:24 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152592
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:44:39 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152504
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:44:45 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152504
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:49:15 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 153564
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:52:05 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 500 523
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:52:06 +0530] "GET /BookStoreWebsite/images/BookStoreLogo.jpeg HTTP/1.1" 404 429
0:0:0:0:0:0:0:1 - - [02/Mar/2024:21:52:29 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 152924
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:02:27 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 153014
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:04:37 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 153058
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:06:47 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 153056
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:08:48 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 153092
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:09:12 +0530] "GET /BookStoreWebsite/search?keyword=head+first HTTP/1.1" 200 153110
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:09:44 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76792
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:09:52 +0530] "GET /BookStoreWebsite/view_book?id=8 HTTP/1.1" 200 76792
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:10:14 +0530] "GET /BookStoreWebsite/search?keyword=Vodafone+ HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:10:19 +0530] "GET /BookStoreWebsite/search?keyword= HTTP/1.1" 200 465428
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:24 +0530] "GET /BookStoreWebsite/view_book?id=7 HTTP/1.1" 200 50325
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:33 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 204800
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:43 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:43 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:53 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:53 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 200 75278
0:0:0:0:0:0:0:1 - - [02/Mar/2024:22:11:57 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 463000
