127.0.0.1 - - [03/Apr/2024:23:13:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:13:51 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:13:52 +0530] "GET /BookStoreWebsite/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:13:52 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:13:52 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24601
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:13:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:05 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:05 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 200 50552
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:05 +0530] "GET /BookStoreWebsite/images/BookStoreAdminLogo.png HTTP/1.1" 200 75278
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:06 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 200 17131
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:06 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 200 22218
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:06 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 200 29220
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:06 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 200 44691
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:06 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 200 16519
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:14:21 +0530] "GET /BookStoreWebsite/admin/list_review HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [03/Apr/2024:23:18:03 +0530] "GET /BookStoreWebsite/admin/list_review HTTP/1.1" 200 3007
